Epoch,Generator_Loss,Discriminator_Loss,Discriminator_Accuracy
219,3.6910596,0.35488993,0.9479087
220,3.6006117,0.2396732,0.9642959
221,5.2528796,0.24430954,0.9543457
222,7.545449,0.496132,0.9313965
223,6.4961047,0.24891852,0.95874023
224,6.337866,0.262623,0.95927614
225,3.5043983,0.33800474,0.94674754
226,3.6961355,0.38418722,0.9439548
227,3.8476796,0.12926006,0.9845596
228,3.6522481,0.28052184,0.9566204
229,4.657333,0.19773352,0.96690404
230,4.276421,0.12908489,0.9843452
231,3.6490304,0.19115473,0.973085
232,3.8242776,0.20696035,0.9662788
233,4.270474,0.40018523,0.9347549
234,5.6792,0.2444487,0.9635635
235,4.609489,0.3103636,0.94818264
236,3.6516623,0.39791694,0.9325874
237,4.649976,0.3266087,0.94452053
238,4.4691606,0.48298505,0.91812354
239,4.445008,0.31833115,0.9466404
240,4.718717,0.47404137,0.9252334
241,4.345171,0.6678928,0.8976753
242,3.9709601,0.51681715,0.9328613
243,5.6816154,0.28411296,0.95079076
244,8.61049,0.21311246,0.9576267
245,6.1870947,0.23750938,0.95825195
246,4.953928,0.23347041,0.96104467
247,4.7841763,0.125536,0.9812786
248,4.6305194,0.11816511,0.9869236
249,3.7676983,0.18054196,0.9764255
250,4.409184,0.13151538,0.98497045
251,5.3737693,0.54875916,0.908221
252,6.5664916,0.36487418,0.94685477
253,8.067068,0.9078721,0.9100193
254,5.2037477,0.32291916,0.9470989
255,4.300573,0.1415597,0.98165965
256,3.6777148,0.2411782,0.9650879
257,3.57035,0.19520919,0.9731147
258,4.5946503,0.20516205,0.9692383
259,5.3468184,0.2945957,0.94761693
260,4.6834116,0.25412998,0.95703125
261,3.6881068,0.4634035,0.91308594
262,4.1972923,0.22899394,0.9647068
263,4.1546626,0.29578868,0.94783133
264,4.0585093,0.47345898,0.908876
265,4.82054,0.21472786,0.96313477
266,5.010053,0.20422153,0.9705364
267,5.129502,0.22304834,0.96728516
268,5.7627225,0.13646378,0.9778904
269,5.1955743,0.2557277,0.95703125
270,5.2455287,0.30022642,0.94319266
271,5.7739444,0.39336324,0.93649364
272,4.891766,0.23391342,0.9637302
273,4.362238,0.37411568,0.93374854
274,4.3362503,0.32584244,0.9386909
275,4.1657295,0.396195,0.925019
276,3.5394943,0.30599138,0.9452827
277,4.7666674,0.28538996,0.94747996
278,12.624971,0.7943232,0.91172826
279,6.356496,0.482849,0.9275974
280,6.125404,0.298033,0.9551853
281,6.4080048,0.23766057,0.96896434
282,5.034343,0.43516928,0.9373333
283,5.1570864,0.11463223,0.98326147
284,4.064816,0.30635166,0.94918895
285,3.6256764,0.34840605,0.9562393
286,3.4437406,0.3838828,0.9320098
287,3.199477,0.38862368,0.9272937
288,4.2095156,0.31486008,0.94400245
289,3.9763806,0.23313232,0.9638672
290,3.9367418,0.22301182,0.9597168
291,4.1532974,0.1463994,0.9801948
292,3.8906894,0.3228728,0.9502132
293,6.3457637,0.3022303,0.9568943
294,8.548933,0.4727608,0.93618995
295,4.904753,0.52625287,0.91625977
296,3.3613033,0.29639822,0.94525295
297,3.7353635,0.39652812,0.92417943
298,3.212595,0.3325342,0.9462295
299,3.448031,0.31304032,0.94685477
300,4.116066,0.21731067,0.9671958
301,3.2819905,0.43101263,0.9153606
302,3.4618988,0.35524103,0.93809545
303,4.4865007,0.16345584,0.9779678
304,4.2602916,0.35038173,0.92906225
305,4.714971,0.2421844,0.9603897
306,4.322285,0.4807768,0.9218452
307,6.419108,0.46398532,0.91745067
308,6.006671,0.41675937,0.9411323
309,4.961368,0.4076088,0.93760717
310,5.8359275,0.41716993,0.93049735
311,7.060951,0.3665847,0.9387683
312,4.848629,0.32683983,0.9420017
313,3.9012563,0.32863086,0.94037014
314,3.213849,0.3206959,0.9425674
315,3.7144163,0.2598549,0.9602825
316,4.436913,0.294575,0.94212675
317,3.963344,0.4906919,0.9085723
318,4.6459827,0.5036289,0.8984077
319,6.995242,0.43943298,0.9250667
320,4.8884044,0.5592586,0.91888577
321,4.345081,0.42146516,0.92718655
322,3.8178108,0.49074292,0.9142173
323,3.515783,0.48704493,0.9184451
324,4.330336,0.4246285,0.925019
325,4.4982486,0.35893074,0.940644
326,4.605839,0.32376722,0.9402927
327,3.2241516,0.35122725,0.936845
328,4.028733,0.21965174,0.9641113
329,4.071925,0.1850697,0.96969676
330,3.3949308,0.30325294,0.94560426
331,3.6587787,0.37077478,0.9303604
332,4.4587207,0.23583737,0.95881766
333,3.7820196,0.34739634,0.9441692
334,3.688734,0.38855836,0.92962795
335,13.3376875,0.95449513,0.89575195
336,8.279454,0.81722856,0.89734185
337,4.114881,0.8657548,0.8678306
338,8.7278805,0.53790754,0.93600535
339,6.559268,0.29884523,0.9437881
340,5.158285,0.55471367,0.9280857
341,3.4202726,0.40670902,0.9342666
342,4.1532154,0.6494533,0.9124607
343,4.4352336,0.37647423,0.9296577
344,4.6626225,0.6552683,0.88690335
345,4.6306477,0.38931885,0.9354099
346,4.1950407,0.33113608,0.9412693
347,3.885509,0.41643563,0.927264
348,2.9883778,0.4360025,0.9244712
349,3.7076185,0.23812401,0.9614258
350,5.70888,0.3695327,0.93844676
351,5.823577,0.32548827,0.9430557
352,3.2055867,0.440376,0.92295873
